universe,family,signal,own_horizon,fwd_horizon,method,region,n_periods,mean_ic,std_ic,analytic_p,bh_significant
realistic,mean_reversion,distance_from_ma,1H,7D,spearman,validation,83,0.05814838300570704,0.2703578989206674,0.050058294009378994,False
realistic,mean_reversion,distance_from_ma,1H,14D,spearman,validation,83,0.00648911435214542,0.2175379404351986,0.7858046736802596,False
realistic,mean_reversion,distance_from_ma,1H,30D,spearman,validation,83,-0.005827822568469367,0.2163728338559389,0.8061606946490142,False
realistic,mean_reversion,distance_from_ma,4H,1H,spearman,design,113,-0.04540375535402797,0.2114588204370396,0.022461571565105927,False
realistic,mean_reversion,distance_from_ma,4H,4H,spearman,design,113,-0.007060239093308494,0.21695073312396845,0.7293897660122821,False
realistic,mean_reversion,distance_from_ma,4H,4H,pearson,design,113,0.0032442180029550027,0.21371164729338396,0.8718025024521321,False
realistic,mean_reversion,distance_from_ma,4H,12H,spearman,design,113,0.0277868343424934,0.23720579244724316,0.2130436056509719,False
realistic,mean_reversion,distance_from_ma,4H,1D,spearman,design,113,0.009039745381151995,0.2293082272375332,0.6751725831923916,False
realistic,mean_reversion,distance_from_ma,4H,3D,spearman,design,113,-0.012009004812917248,0.2205361700122683,0.5626900529444181,False
realistic,mean_reversion,distance_from_ma,4H,7D,spearman,design,113,-0.022567741581961155,0.23134577697014802,0.2997503356052087,False
realistic,mean_reversion,distance_from_ma,4H,14D,spearman,design,113,-0.0412572947204033,0.23339358530614818,0.060230154290594494,False
realistic,mean_reversion,distance_from_ma,4H,30D,spearman,design,113,-0.01821122953140269,0.25855632069694007,0.4540219367232875,False
realistic,mean_reversion,distance_from_ma,4H,1H,spearman,validation,83,-0.009134281486849657,0.2632779999862899,0.751940764710767,False
realistic,mean_reversion,distance_from_ma,4H,4H,spearman,validation,83,0.008164990790228577,0.2335759583675101,0.7501295163873485,False
realistic,mean_reversion,distance_from_ma,4H,4H,pearson,validation,83,0.016262865084295468,0.2457509765576464,0.546579308165434,False
realistic,mean_reversion,distance_from_ma,4H,12H,spearman,validation,83,0.03205604372376725,0.23009905416960863,0.204365498818192,False
realistic,mean_reversion,distance_from_ma,4H,1D,spearman,validation,83,0.0497991967871486,0.2500045546698796,0.06956448427478612,False
realistic,mean_reversion,distance_from_ma,4H,3D,spearman,validation,83,0.04980523598152008,0.2533838767902933,0.0733333480476541,False
realistic,mean_reversion,distance_from_ma,4H,7D,spearman,validation,83,0.045173173898601926,0.27534607230522745,0.13500467801763882,False
realistic,mean_reversion,distance_from_ma,4H,14D,spearman,validation,83,-0.0020774828637859697,0.2435881409256386,0.9380667885104333,False
realistic,mean_reversion,distance_from_ma,4H,30D,spearman,validation,83,0.014690340308602843,0.22304828519007022,0.5484871174264863,False
realistic,mean_reversion,distance_from_ma,12H,1H,spearman,design,113,-0.03753641652282711,0.2298444610252535,0.08255799075119057,False
realistic,mean_reversion,distance_from_ma,12H,4H,spearman,design,113,0.012659250938381876,0.23827434877375359,0.5722317010982509,False
realistic,mean_reversion,distance_from_ma,12H,12H,spearman,design,113,0.029363818186799635,0.23267180644263458,0.1797408221331933,False
realistic,mean_reversion,distance_from_ma,12H,12H,pearson,design,113,0.026747379665031143,0.23508518870344777,0.22648222735022183,False
realistic,mean_reversion,distance_from_ma,12H,1D,spearman,design,113,0.0172212480707234,0.22899495046145335,0.42404379176972506,False
realistic,mean_reversion,distance_from_ma,12H,3D,spearman,design,113,-0.007993369681361134,0.21963953790256205,0.6988567082255337,False
realistic,mean_reversion,distance_from_ma,12H,7D,spearman,design,113,0.000942948208626715,0.23788039749079923,0.9663891138359975,False
realistic,mean_reversion,distance_from_ma,12H,14D,spearman,design,113,-0.00992721261769729,0.25468747795467617,0.6786236629020101,False
realistic,mean_reversion,distance_from_ma,12H,30D,spearman,design,113,-0.03218649826022631,0.2650475841722621,0.19674196245243092,False
realistic,mean_reversion,distance_from_ma,12H,1H,spearman,validation,83,-0.0008032128514056255,0.23983240834450092,0.9756592190588191,False
realistic,mean_reversion,distance_from_ma,12H,4H,spearman,validation,83,0.007754325572968564,0.2468628155042574,0.7747462564267086,False
realistic,mean_reversion,distance_from_ma,12H,12H,spearman,validation,83,0.04687924630854243,0.25080709282803376,0.08859360424084274,False
realistic,mean_reversion,distance_from_ma,12H,12H,pearson,validation,83,0.050114512540187804,0.25127959157772034,0.06922325594311857,False
realistic,mean_reversion,distance_from_ma,12H,1D,spearman,validation,83,0.04553552556089018,0.22694019453781078,0.0675484237703426,False
